Category,Days_Left,Stock_Available,Sales_Last_Week,Target_Discount
Produce,51,23,10,1.18
Meat,5,156,99,28.45
Beverage,19,114,79,2.67
Pantry,38,12,17,0.1
Bakery,71,111,20,0.0
Dairy,58,17,13,0.0
Bakery,6,50,12,22.39
Meat,68,183,16,1.97
Dairy,76,70,33,0.0
Beverage,29,66,77,0.0
Produce,37,154,60,0.0
Produce,78,25,44,0.0
Bakery,57,184,66,0.0
Meat,24,28,17,5.05
Produce,52,75,32,0.0
Frozen,59,121,60,0.22
Beverage,84,44,76,0.0
Frozen,81,162,82,3.29
Dairy,12,179,97,12.16
Produce,73,82,35,2.57
Frozen,80,188,23,0.0
Bakery,1,174,42,50.0
Frozen,39,121,30,1.91
Beverage,29,191,38,0.0
Produce,52,44,20,0.0
Meat,33,24,77,0.25
Frozen,64,157,82,0.94
Frozen,46,58,83,2.12
Pantry,47,50,77,1.37
Beverage,6,196,29,14.29
Meat,43,19,63,0.21
Beverage,7,58,53,10.68
Produce,12,171,27,8.36
Frozen,20,51,15,0.42
Dairy,52,161,54,1.06
Frozen,50,59,51,0.24
Pantry,36,104,10,0.0
Dairy,29,64,72,0.37
Dairy,71,146,4,0.0
Produce,72,176,54,1.2
Beverage,27,63,13,0.77
Produce,1,92,55,44.26
Bakery,13,90,84,7.9
Pantry,48,110,51,0.0
Bakery,86,195,93,0.0
Pantry,49,133,32,0.91
Dairy,21,62,74,4.61
Produce,46,154,62,2.1
Frozen,67,74,30,0.0
Meat,86,135,42,0.6
Frozen,86,26,37,0.0
Bakery,51,96,48,0.0
Frozen,41,59,53,0.0
Meat,19,168,78,0.63
Beverage,56,184,8,0.0
Pantry,33,69,93,0.0
Pantry,64,159,23,2.71
Frozen,38,133,83,0.81
Dairy,61,138,48,3.26
Beverage,86,47,61,5.11
Frozen,88,61,6,0.0
Beverage,36,58,98,1.88
Beverage,27,77,6,0.0
Pantry,79,157,41,0.18
Produce,49,124,21,2.52
Dairy,55,134,89,2.61
Meat,89,31,75,1.57
Beverage,23,81,77,5.25
Produce,10,111,91,9.72
Bakery,63,78,81,0.0
Bakery,60,24,70,0.0
Beverage,83,159,11,0.24
Dairy,36,22,35,0.0
Pantry,62,160,68,0.0
Dairy,20,21,61,2.37
Frozen,70,79,39,3.05
Bakery,85,70,59,1.83
Frozen,75,175,48,0.0
Produce,25,138,41,2.6
Produce,8,68,21,13.13
Pantry,21,86,76,2.1
Bakery,88,128,22,0.0
Beverage,44,20,99,0.0
Produce,44,101,73,0.0
Meat,7,182,65,14.88
Pantry,50,191,82,1.87
Bakery,7,104,41,17.49
Frozen,68,51,16,4.12
Beverage,5,114,29,19.21
Pantry,84,65,37,3.15
Produce,9,43,89,9.84
Frozen,34,24,55,1.9
Bakery,55,143,17,0.84
Pantry,17,185,34,2.6
Bakery,51,174,64,0.0
Frozen,36,134,32,0.0
Produce,28,141,79,0.0
Meat,6,61,73,21.64
Produce,50,37,71,5.19
Dairy,44,150,18,3.07
Beverage,12,126,86,2.17
Produce,16,44,48,8.15
Meat,77,169,3,0.0
Pantry,9,112,79,8.84
Dairy,59,46,84,0.0
Beverage,78,146,48,0.13
Meat,77,105,48,0.0
Produce,33,128,95,0.0
Produce,53,40,89,0.0
Meat,74,147,74,2.83
Bakery,88,108,91,3.56
Frozen,67,14,5,1.1
Produce,54,115,80,0.0
Pantry,47,130,25,2.44
Bakery,58,46,62,1.35
Produce,11,22,71,4.18
Frozen,4,36,14,19.59
Frozen,56,95,85,0.5
Pantry,11,199,47,8.85
Beverage,63,196,11,2.43
Pantry,55,30,53,0.0
Dairy,34,113,59,1.17
Meat,4,19,69,39.0
Bakery,8,54,86,17.03
Bakery,14,133,6,8.41
Bakery,38,144,71,0.0
Dairy,84,189,97,0.0
Beverage,1,59,59,34.76
Bakery,58,164,35,2.12
Produce,1,117,23,43.57
Pantry,22,199,63,0.0
Pantry,75,131,96,2.06
Bakery,24,104,32,3.01
Bakery,15,137,74,4.33
Frozen,25,49,21,3.14
Produce,32,34,32,0.0
Meat,39,56,65,0.0
Dairy,43,12,28,0.77
Pantry,12,126,36,6.64
Frozen,80,30,96,0.0
Frozen,67,94,60,0.84
Meat,44,124,35,0.0
Meat,14,68,74,6.61
Produce,56,49,36,0.0
Pantry,51,167,35,1.04
Bakery,34,158,62,0.32
Beverage,45,128,2,0.0
Pantry,32,163,29,0.0
Dairy,80,55,17,0.28
Bakery,11,133,33,12.23
Meat,19,46,67,5.83
Produce,18,197,47,3.38
Beverage,11,125,10,9.66
Bakery,77,160,15,0.48
Produce,32,73,34,0.0
Frozen,54,180,44,0.0
Dairy,20,23,76,1.84
Meat,54,113,36,0.0
Dairy,66,72,57,0.0
Frozen,26,44,9,0.0
Frozen,77,76,33,0.0
Dairy,48,10,63,0.0
Beverage,4,13,28,24.72
Frozen,73,99,12,1.99
Pantry,41,102,49,1.81
Beverage,88,84,92,0.0
Bakery,40,34,88,0.0
Frozen,73,98,77,0.0
Pantry,3,198,82,22.89
Beverage,3,68,94,17.68
Dairy,80,128,20,0.0
Meat,7,199,14,27.07
Produce,65,76,64,0.23
Pantry,4,142,58,29.07
Frozen,35,48,96,0.0
Dairy,76,46,72,0.0
Pantry,25,170,68,3.77
Bakery,6,71,74,21.05
Meat,56,28,75,1.37
Meat,57,95,10,0.0
Produce,40,179,62,0.0
Bakery,32,62,43,0.0
Beverage,70,30,64,1.08
Meat,19,71,83,7.27
Produce,66,185,84,0.44
Bakery,1,86,86,50.0
Frozen,32,20,95,0.0
Beverage,85,39,20,0.7
Meat,3,155,14,42.95
Dairy,47,179,41,0.35
Meat,80,51,30,0.23
Frozen,43,83,64,0.0
Pantry,82,29,60,0.0
Beverage,19,76,97,3.13
Bakery,53,38,36,0.0
Pantry,66,41,45,1.82
Produce,1,198,14,50.0
Beverage,51,129,84,0.0
Beverage,20,112,93,1.62
Meat,25,65,47,0.9
Frozen,78,59,15,0.08
Dairy,34,190,40,0.0
Dairy,21,141,41,3.97
Dairy,54,17,80,0.0
Meat,24,30,8,4.16
Frozen,21,16,57,1.89
Dairy,64,17,0,0.0
Bakery,33,83,19,0.0
Produce,41,89,59,0.0
Bakery,76,48,52,0.0
Meat,58,61,12,3.52
Meat,3,146,38,37.67
Meat,33,35,9,0.0
Produce,23,119,41,1.61
Meat,19,174,80,5.35
Produce,62,193,92,2.6
Dairy,86,156,32,3.23
Produce,59,126,91,0.0
Pantry,52,93,93,0.0
Bakery,79,43,26,0.0
Beverage,71,94,44,0.0
Dairy,49,105,7,1.15
Dairy,87,69,29,1.19
Beverage,22,165,16,2.19
Pantry,51,184,89,0.0
Beverage,75,185,95,2.57
Pantry,45,43,67,0.0
Produce,3,143,97,31.75
Meat,21,164,6,4.76
Pantry,44,74,44,0.34
Frozen,23,90,8,0.0
Pantry,1,101,6,50.0
Pantry,24,146,71,3.06
Bakery,70,73,33,0.0
Produce,76,175,15,0.0
Produce,58,127,44,0.0
Bakery,69,181,82,1.07
Bakery,88,161,6,0.59
Dairy,57,89,82,0.0
Bakery,80,157,99,0.0
Produce,24,161,27,1.66
Meat,11,91,50,9.9
Frozen,53,48,82,1.56
Frozen,19,98,93,4.48
Beverage,54,173,18,0.0
Beverage,38,50,53,2.92
Beverage,39,71,41,1.25
Pantry,4,158,27,23.3
Beverage,70,77,92,2.04
Dairy,85,31,17,0.0
Pantry,20,82,57,1.9
Beverage,55,103,25,0.0
Meat,71,183,16,1.09
Meat,70,83,74,2.72
Dairy,63,75,25,0.0
Beverage,82,62,99,6.68
Meat,52,76,36,0.14
Pantry,39,130,54,1.15
Meat,42,178,70,0.0
Produce,61,159,12,0.0
Pantry,61,13,30,0.14
Produce,83,195,0,0.0
Produce,85,106,61,0.0
Meat,14,177,49,8.02
Beverage,88,166,94,0.0
Frozen,54,109,9,0.0
Meat,46,92,9,1.72
Bakery,24,20,86,5.1
Dairy,23,143,77,5.82
Pantry,83,147,74,3.54
Meat,83,112,47,3.07
Pantry,14,80,18,3.06
Meat,48,183,46,0.08
Frozen,54,79,79,3.94
Dairy,7,125,46,16.13
Bakery,82,51,90,0.0
Dairy,4,103,15,35.92
Frozen,24,49,63,0.87
Bakery,76,163,58,1.98
Bakery,5,146,40,26.05
Produce,27,98,96,1.02
Meat,41,57,19,0.0
Meat,21,91,53,3.07
Pantry,62,73,54,0.0
Produce,42,157,40,0.38
Pantry,62,71,25,0.0
Meat,29,23,92,0.0
Meat,11,100,75,8.2
Dairy,72,160,51,2.22
Bakery,8,158,7,29.6
Beverage,28,107,74,0.0
Dairy,13,29,86,6.67
Frozen,3,173,42,20.59
Bakery,18,161,64,2.83
Beverage,58,198,7,3.23
Beverage,39,71,19,2.01
Bakery,73,126,49,0.0
Bakery,63,147,35,0.91
Bakery,10,185,67,10.06
Beverage,63,59,54,0.0
Produce,18,182,78,0.0
Meat,9,47,42,14.16
Produce,77,137,25,3.29
Pantry,57,87,28,0.0
Frozen,83,107,79,1.56
Bakery,59,47,41,4.27
Meat,67,79,76,0.0
Bakery,34,52,3,3.15
Bakery,71,136,62,0.0
Produce,36,128,71,0.0
Pantry,79,14,99,0.0
Produce,11,27,44,11.13
Beverage,17,94,94,3.44
Produce,17,166,62,1.85
Pantry,39,199,92,0.0
Frozen,12,142,89,2.96
Beverage,69,195,55,0.0
Produce,62,61,90,0.67
Produce,5,56,57,22.66
Produce,65,16,25,0.0
Meat,11,45,56,12.53
Frozen,4,191,57,20.28
Produce,10,104,98,6.27
Meat,79,35,52,0.0
Beverage,51,198,54,0.0
Frozen,82,19,89,1.02
Pantry,1,21,65,32.86
Meat,38,56,14,2.52
Meat,24,175,73,2.98
Dairy,18,15,24,1.42
Dairy,45,148,85,0.0
Frozen,76,11,49,0.87
Pantry,8,27,75,9.99
Beverage,88,33,34,0.0
Bakery,61,86,10,0.17
Beverage,39,84,13,0.17
Produce,21,188,70,1.49
Beverage,31,77,84,0.4
Frozen,39,179,1,0.0
Frozen,46,69,98,0.0
Produce,73,150,11,0.84
Frozen,53,161,74,0.0
Produce,21,117,20,1.38
Frozen,65,19,71,0.0
Beverage,80,88,17,1.37
Produce,62,21,18,0.64
Beverage,88,195,72,0.0
Beverage,62,103,25,0.01
Pantry,34,190,9,1.97
Beverage,31,143,32,0.0
Pantry,32,76,77,0.0
Frozen,45,91,34,0.0
Pantry,64,48,76,0.0
Meat,75,135,2,1.39
Bakery,35,32,62,0.36
Bakery,4,172,0,50.0
Meat,60,99,0,0.22
Bakery,59,115,88,0.0
Frozen,28,60,24,0.0
Frozen,23,129,90,0.38
Dairy,74,136,19,0.0
Meat,36,56,83,0.2
Frozen,42,136,14,0.15
Dairy,17,102,53,4.52
Frozen,15,46,17,3.15
Meat,36,175,94,0.0
Meat,67,132,42,2.18
Bakery,25,133,77,1.96
Bakery,28,188,41,0.0
Pantry,19,190,67,3.42
Bakery,28,77,60,0.0
Pantry,31,78,21,0.9
Beverage,8,65,22,8.01
Frozen,52,172,52,0.0
Meat,2,195,14,50.0
Dairy,52,150,6,0.0
Frozen,87,196,74,0.0
Bakery,86,146,54,0.0
Dairy,18,83,90,3.96
Frozen,26,81,44,1.88
Bakery,87,155,0,0.73
Frozen,2,133,5,43.18
Produce,73,161,90,0.0
Beverage,76,36,36,0.6
Produce,22,160,92,0.69
Beverage,64,60,73,0.0
Produce,13,159,24,5.86
Beverage,82,90,43,0.0
Beverage,62,118,68,0.0
Pantry,82,58,16,1.47
Dairy,27,153,31,1.49
Meat,79,30,18,1.76
Dairy,32,52,66,0.76
Meat,14,199,58,4.68
Frozen,12,54,57,2.94
Frozen,80,147,17,0.0
Meat,77,103,74,2.16
Beverage,36,23,95,2.12
Produce,38,198,55,4.77
Dairy,10,18,6,11.82
Produce,39,184,99,1.35
Frozen,77,99,20,0.77
Pantry,19,13,46,3.29
Bakery,61,26,61,0.0
Dairy,55,139,73,0.95
Dairy,33,155,24,2.4
Dairy,86,97,58,0.0
Produce,35,163,62,0.0
Frozen,68,183,23,0.0
Beverage,29,77,3,0.0
Pantry,51,149,83,0.0
Frozen,67,83,79,0.48
Beverage,39,11,14,0.0
Beverage,10,23,65,5.99
Beverage,9,121,33,7.29
Dairy,64,148,2,4.54
Meat,79,94,95,0.45
Meat,52,57,85,1.65
Beverage,45,22,15,0.0
Dairy,44,178,36,0.77
Pantry,13,72,82,6.36
Frozen,37,148,72,0.0
Meat,6,108,43,20.06
Bakery,20,145,69,2.94
Meat,64,89,39,2.74
Pantry,77,185,22,0.0
Dairy,75,57,40,0.27
Bakery,21,148,29,5.86
Produce,59,195,44,0.0
Dairy,18,155,96,4.58
Meat,27,77,60,1.46
Frozen,89,179,78,0.0
Meat,86,33,38,2.69
Frozen,81,69,82,0.0
Produce,60,125,6,0.44
Bakery,28,95,72,0.58
Frozen,27,167,85,0.07
Dairy,53,48,34,0.3
Meat,13,145,99,4.85
Bakery,18,132,10,8.07
Frozen,74,13,16,0.0
Frozen,7,118,30,8.24
Dairy,86,14,70,0.47
Meat,1,192,64,50.0
Frozen,39,51,73,0.0
Produce,71,75,66,0.45
Frozen,58,12,99,2.88
Frozen,1,151,66,28.33
Meat,26,97,14,1.2
Frozen,56,142,62,1.72
Meat,51,65,0,1.05
Dairy,29,14,5,2.68
Produce,17,126,25,6.34
Meat,68,106,57,0.36
Beverage,70,192,32,0.83
Frozen,76,60,14,1.48
Meat,1,41,62,48.73
Dairy,55,61,64,1.02
Dairy,19,21,89,1.95
Meat,82,149,60,2.95
Frozen,44,99,56,3.66
Produce,46,176,30,0.35
Dairy,70,42,54,0.0
Dairy,17,124,68,6.12
Produce,79,59,36,0.0
Beverage,3,77,96,22.02
Dairy,12,195,28,6.25
Frozen,83,49,21,0.0
Bakery,30,51,22,0.0
Pantry,86,11,55,6.65
Pantry,38,48,85,0.16
Dairy,31,118,85,0.0
Beverage,62,109,94,4.47
Beverage,36,139,3,2.13
Dairy,8,180,67,15.22
Beverage,78,120,59,0.0
Pantry,49,95,62,0.0
Produce,54,175,43,3.73
Bakery,66,13,80,2.52
Meat,8,162,5,28.33
Produce,79,132,55,0.14
Produce,44,179,78,1.84
Produce,41,110,1,0.33
Beverage,87,151,52,2.08
Dairy,31,70,69,0.59
Beverage,1,88,29,31.37
Frozen,48,17,58,0.0
Frozen,38,151,63,0.0
Dairy,15,194,35,6.15
Meat,81,45,20,0.88
Beverage,81,64,31,0.0
Pantry,13,83,90,8.14
Produce,11,168,77,6.73
Produce,76,159,32,0.0
Dairy,55,147,59,0.0
Meat,6,117,80,21.11
Frozen,40,102,48,1.82
Dairy,35,49,56,0.0
Produce,64,136,29,0.0
Pantry,74,13,53,3.28
Frozen,80,126,6,0.0
Meat,58,16,97,0.0
Meat,75,37,69,5.02
Beverage,20,147,96,3.43
Dairy,8,158,93,14.12
Bakery,10,17,55,13.36
Pantry,60,177,64,0.0
Produce,43,138,50,0.0
Frozen,8,180,71,7.59
Pantry,10,70,76,9.26
Dairy,86,183,55,0.0
Meat,56,51,66,2.47
Meat,66,41,70,0.0
Beverage,69,76,53,0.0
Meat,22,186,55,0.49
Produce,33,33,68,0.0
Meat,88,111,12,0.0
Produce,63,160,15,0.0
Frozen,2,17,21,25.61
Meat,60,106,30,0.0
Dairy,21,87,2,2.5
Dairy,49,178,80,2.69
Bakery,14,73,3,7.53
Bakery,46,66,88,0.0
Dairy,76,114,12,0.0
Meat,38,85,67,0.0
Dairy,53,11,21,1.03
Frozen,75,83,54,0.0
Bakery,7,54,80,15.75
Beverage,74,183,84,1.75
Produce,27,65,99,0.0
Bakery,32,58,22,0.0
Pantry,86,138,35,0.0
Beverage,43,28,13,0.0
Pantry,51,18,83,1.58
Frozen,87,160,58,2.27
Beverage,48,109,39,0.0
Dairy,51,116,97,1.72
Produce,62,112,42,0.0
Dairy,8,105,52,16.23
Bakery,10,39,17,12.63
Bakery,48,85,79,0.0
Meat,21,96,77,5.25
Meat,32,34,79,0.33
Dairy,42,60,60,0.03
Beverage,71,60,39,0.0
Beverage,40,29,73,4.39
Dairy,50,38,37,0.0
Pantry,32,16,85,0.0
Meat,25,136,85,1.12
Beverage,74,160,58,0.0
Dairy,45,159,8,0.87
Pantry,75,42,55,0.24
Dairy,15,108,61,2.72
Dairy,58,71,51,0.0
Beverage,87,192,34,0.83
Beverage,37,161,32,1.49
Pantry,23,54,64,1.13
Bakery,57,46,0,3.49
Beverage,81,194,52,0.0
Pantry,84,166,10,0.0
Produce,55,130,17,4.24
Dairy,32,47,34,1.93
Beverage,42,60,62,3.92
Pantry,87,37,36,0.0
Produce,46,180,26,0.0
Frozen,52,165,50,1.33
Frozen,29,123,72,0.0
Pantry,74,132,55,0.0
Bakery,33,119,0,0.0
Pantry,79,87,74,0.0
Pantry,14,102,71,1.52
Meat,32,25,52,0.0
Dairy,73,62,44,0.0
Meat,84,196,62,0.0
Beverage,62,100,16,0.0
Pantry,87,124,80,0.0
Bakery,48,87,43,0.0
Bakery,68,76,40,0.89
Frozen,2,20,92,25.84
Beverage,81,124,61,2.63
Meat,22,182,76,2.24
Dairy,13,13,16,6.34
Frozen,9,52,34,8.82
Meat,85,108,42,0.0
Meat,52,153,94,3.05
Produce,12,187,46,3.68
Dairy,61,77,38,0.0
Bakery,25,143,9,0.14
Dairy,45,169,13,0.0
Pantry,15,103,49,0.0
Meat,40,86,4,0.0
Meat,81,144,45,2.76
Beverage,61,115,5,3.75
Beverage,61,32,80,0.28
Produce,42,81,77,4.69
Beverage,24,173,31,0.0
Frozen,31,32,50,0.0
Frozen,30,96,37,0.79
Beverage,26,32,12,6.17
Dairy,51,96,49,2.45
Beverage,55,22,21,2.69
Bakery,41,118,43,0.0
Dairy,1,98,66,45.88
Dairy,56,44,58,0.0
Dairy,67,123,90,0.0
Produce,58,97,84,0.0
Dairy,37,151,37,1.78
Beverage,75,71,71,0.0
Frozen,78,90,90,2.89
Frozen,79,71,76,0.73
Frozen,82,81,42,0.0
Pantry,7,185,32,11.17
Pantry,3,60,11,26.58
Frozen,82,125,53,0.89
Bakery,16,28,64,6.72
Frozen,40,174,41,0.0
Meat,37,117,1,0.0
Frozen,32,155,83,0.0
Produce,39,39,79,0.55
Frozen,24,120,47,0.78
Dairy,58,136,67,2.07
Meat,55,110,43,0.0
Meat,78,170,51,0.0
Produce,76,93,90,0.0
Meat,30,59,79,2.32
Pantry,21,32,2,2.56
Pantry,26,63,51,0.0
Meat,27,17,92,0.0
Pantry,69,91,46,0.0
Bakery,13,196,9,11.1
Dairy,55,173,80,0.0
Frozen,7,140,97,7.44
Dairy,80,54,54,2.09
Frozen,63,19,98,0.0
Meat,41,125,65,1.29
Beverage,68,84,72,0.69
Meat,20,179,7,2.95
Dairy,75,27,83,0.0
Produce,61,37,17,3.4
Frozen,9,154,88,6.19
Produce,79,34,95,0.02
Produce,85,174,12,2.43
Bakery,84,134,95,0.0
Frozen,80,103,48,0.0
Produce,9,84,86,10.25
Frozen,33,155,32,0.0
Pantry,61,168,69,0.0
Produce,80,46,40,1.43
Produce,47,149,5,1.4
Dairy,64,147,26,0.19
Meat,22,22,36,2.81
Produce,53,176,86,2.23
Meat,28,126,24,0.0
Pantry,89,14,37,0.0
Bakery,22,71,94,0.52
Produce,26,145,3,2.31
Meat,21,155,25,5.55
Produce,87,37,29,0.0
Beverage,68,72,95,0.0
Pantry,40,38,43,0.0
Frozen,32,27,25,2.53
Bakery,71,160,61,2.58
Meat,73,40,90,2.61
Pantry,59,54,31,3.24
Frozen,29,79,3,2.19
Bakery,39,128,10,1.12
Beverage,16,168,62,3.43
Bakery,34,162,93,1.43
Bakery,37,135,75,0.0
Dairy,75,130,75,1.2
Frozen,57,84,19,0.0
Frozen,24,129,2,0.0
Pantry,8,104,32,8.49
Meat,17,31,34,5.98
Frozen,18,146,59,3.26
Bakery,2,159,27,47.04
Dairy,69,133,1,0.0
Pantry,71,47,49,1.46
Dairy,55,21,19,1.52
Dairy,46,123,32,0.96
Pantry,54,27,30,0.0
Produce,86,78,90,0.33
Meat,4,193,13,50.0
Beverage,55,107,0,0.84
Beverage,54,127,42,1.27
Frozen,49,165,71,0.0
Beverage,61,14,57,0.0
Frozen,68,43,95,2.19
Dairy,56,172,6,1.02
Meat,34,123,23,2.97
Bakery,4,37,62,34.07
Produce,9,48,34,12.92
Produce,70,142,61,0.0
Bakery,73,61,44,0.0
Frozen,78,31,22,0.0
Produce,82,69,77,0.0
Beverage,56,179,16,2.17
Dairy,38,165,93,0.85
Dairy,54,198,99,0.12
Bakery,26,68,32,2.77
Bakery,55,47,36,0.96
Beverage,70,73,0,1.71
Frozen,64,144,77,1.16
Bakery,51,125,7,0.0
Bakery,3,94,5,50.0
Beverage,2,166,9,50.0
Bakery,5,131,18,30.64
Bakery,19,71,5,7.88
Produce,70,182,49,0.0
Bakery,88,81,61,0.0
Beverage,22,140,33,2.47
Pantry,85,143,90,0.0
Bakery,58,180,2,0.0
Pantry,6,18,65,14.97
Beverage,13,172,79,5.03
Produce,55,26,40,0.0
Beverage,57,70,59,0.0
Produce,88,165,55,0.0
Meat,65,135,21,1.46
Dairy,66,109,11,0.0
Produce,60,196,85,0.0
Meat,87,139,77,0.02
Beverage,61,143,23,0.0
Pantry,45,119,36,0.87
Dairy,77,105,18,0.0
Meat,42,79,72,0.0
Bakery,47,113,6,0.73
Bakery,40,120,64,0.38
Bakery,14,115,63,5.72
Pantry,7,42,55,9.15
Meat,79,93,46,0.16
Dairy,83,96,1,0.0
Pantry,67,167,21,0.0
Beverage,7,152,15,14.92
Produce,25,62,16,1.6
Pantry,67,62,83,0.0
Bakery,44,113,32,1.76
Pantry,58,169,64,1.54
Beverage,86,189,65,0.2
Produce,81,122,7,1.36
Produce,77,119,95,0.0
Dairy,84,171,47,0.0
Dairy,61,46,40,0.62
Frozen,23,93,40,0.51
Beverage,73,99,69,0.0
Meat,27,132,99,2.47
Meat,58,115,22,0.0
Beverage,16,111,69,4.98
Bakery,88,192,61,3.73
Pantry,73,104,99,0.18
Beverage,59,194,87,2.63
Dairy,63,193,7,0.73
Dairy,78,21,72,3.06
Frozen,43,28,11,0.0
Bakery,11,128,47,14.38
Dairy,30,172,57,0.0
Beverage,88,21,60,1.24
Produce,74,139,9,4.34
Pantry,22,96,64,0.0
Frozen,27,155,68,1.47
Produce,73,176,51,1.88
Pantry,36,129,95,1.91
Produce,60,105,5,2.46
Produce,6,64,19,17.06
Beverage,46,57,82,0.0
Frozen,55,22,44,0.0
Pantry,47,20,29,0.41
Dairy,36,91,18,0.0
Beverage,4,98,56,19.97
Beverage,83,181,28,4.6
Pantry,61,69,21,3.51
Produce,78,89,19,3.15
Beverage,36,109,8,1.1
Bakery,49,81,92,0.0
Beverage,58,40,85,1.2
Pantry,84,42,80,1.3
Bakery,73,196,50,1.44
Produce,16,109,7,5.28
Frozen,48,189,7,0.13
Bakery,37,152,20,1.94
Frozen,79,58,46,0.0
Bakery,35,88,20,0.0
Dairy,73,168,56,2.07
Meat,81,11,15,0.0
Bakery,59,133,37,0.0
Dairy,8,140,56,14.17
Frozen,9,40,78,9.07
Produce,33,13,37,0.13
Meat,17,77,65,2.17
Bakery,26,113,17,2.72
Produce,31,49,91,0.21
Meat,14,84,25,2.46
Pantry,14,57,51,2.96
Pantry,3,127,5,45.79
Beverage,84,131,61,0.0
Dairy,35,63,53,0.0
Beverage,84,85,64,3.94
Bakery,40,179,76,0.52
Produce,9,123,75,14.11
Dairy,67,15,89,0.0
Bakery,35,148,26,0.0
Meat,72,141,41,0.0
Meat,33,83,44,2.37
Bakery,29,145,91,0.9
Produce,5,171,86,22.21
Pantry,46,112,3,0.38
Produce,41,105,16,1.78
Meat,19,68,39,3.16
Beverage,81,158,94,0.62
Frozen,59,92,16,0.0
Bakery,28,142,69,0.0
Beverage,2,109,1,50.0
Dairy,58,158,58,0.03
Bakery,21,160,15,6.52
Dairy,51,196,76,0.8
Pantry,65,126,88,0.84
Bakery,66,50,41,1.85
Beverage,80,82,37,0.0
Meat,56,113,2,0.31
Produce,74,116,62,0.0
Pantry,87,124,15,0.0
Meat,37,190,89,0.0
Produce,3,159,92,30.37
Pantry,1,84,35,37.89
Frozen,12,10,14,3.04
Bakery,11,41,54,11.42
Dairy,33,165,96,0.0
Frozen,52,82,66,0.5
Frozen,83,53,59,1.63
Bakery,87,82,3,0.0
Frozen,62,32,60,1.04
Meat,62,190,39,0.0
Produce,31,182,41,0.0
Bakery,73,196,91,0.0
Frozen,61,198,24,0.12
Frozen,14,74,69,0.9
Meat,67,139,15,0.0
Meat,63,134,88,0.0
Pantry,71,76,39,2.84
Meat,16,161,66,4.22
Dairy,62,22,16,0.0
Bakery,83,31,12,2.42
Bakery,34,144,91,0.0
Beverage,12,179,31,6.53
Pantry,56,47,45,0.0
Beverage,81,64,49,0.0
Beverage,38,88,93,0.0
Pantry,86,118,77,0.0
Beverage,83,46,45,0.0
Bakery,17,154,14,6.08
Beverage,52,95,69,0.0
Pantry,13,99,74,6.41
Pantry,37,182,51,0.0
Meat,26,165,31,0.25
Frozen,53,146,39,0.32
Produce,86,199,77,0.0
Meat,19,87,76,6.12
Meat,8,170,15,18.83
Pantry,37,61,32,1.41
Frozen,24,62,0,1.98
Frozen,59,22,97,0.09
Meat,79,69,68,1.79
Dairy,84,31,54,0.0
Bakery,7,41,75,14.93
Pantry,62,72,18,0.0
Bakery,25,15,76,3.31
Pantry,71,104,10,0.56
Bakery,60,99,22,0.0
Pantry,87,161,71,4.53
Dairy,38,84,73,0.0
Beverage,84,181,72,1.46
Frozen,55,144,64,0.0
Pantry,21,88,94,1.81
Meat,74,58,14,1.13
Beverage,50,22,59,0.45
Meat,9,133,55,12.22
Meat,62,124,79,3.32
Produce,67,29,37,1.26
Frozen,42,87,55,0.0
Beverage,79,162,72,0.0
Bakery,55,127,65,0.47
Bakery,77,44,25,0.04
Produce,30,155,19,0.0
Beverage,10,93,8,6.06
Beverage,62,17,26,0.81
Produce,80,106,14,0.0
Bakery,39,152,36,0.0
Frozen,46,113,35,0.0
Frozen,54,126,12,0.34
Produce,26,86,38,2.14
Frozen,49,57,95,1.24
Pantry,55,109,46,0.0
Bakery,21,45,11,4.9
Pantry,77,109,66,2.3
Pantry,65,79,32,0.0
Beverage,2,111,77,24.31
Produce,81,36,74,0.0
Meat,31,42,48,0.0
Bakery,58,60,28,0.0
Produce,49,52,59,0.0
Pantry,4,181,26,23.9
Produce,54,17,94,0.0
Meat,21,154,75,5.39
Frozen,45,104,80,0.0
Bakery,89,134,34,0.0
Dairy,43,108,45,0.0
Bakery,57,30,64,1.02
Beverage,4,135,92,19.79
Dairy,87,112,85,0.0
Produce,52,179,28,0.83
Produce,45,143,29,0.0
Beverage,22,189,8,2.57
Meat,84,170,21,1.19
Bakery,85,140,11,1.88
Pantry,84,158,0,0.0
Frozen,73,78,87,0.0
Beverage,16,50,87,0.0
Beverage,10,22,50,5.28
Dairy,74,128,11,2.23
Bakery,58,183,82,0.0
Produce,1,188,27,44.47
Bakery,74,157,53,0.82
Beverage,24,22,83,3.62
Beverage,63,193,67,1.26
Meat,84,173,81,0.91
Meat,37,79,50,0.0
Meat,30,124,94,0.0
Frozen,28,46,31,0.0
Pantry,12,148,28,1.8
Bakery,67,23,61,0.0
Pantry,75,140,48,1.21
Meat,69,41,53,2.87
Bakery,44,150,20,0.85
Beverage,21,124,13,1.4
Meat,18,92,14,3.73
Frozen,77,10,89,0.0
Beverage,1,179,43,31.59
Frozen,28,52,96,0.0
Meat,77,52,94,0.27
Beverage,6,112,52,12.04
Pantry,43,125,98,0.33
Dairy,29,118,93,0.0
Pantry,79,112,18,1.66
Bakery,59,115,52,0.0
Frozen,21,37,55,1.92
Bakery,80,190,0,0.0
Beverage,6,177,22,15.25
Pantry,12,95,5,10.19
